"name","nok","usd","sector","ownership","country","id","type","voting"
"Yext Inc","75530816","8565236","Technology","0.67","United States","9287","equities","0.67"
"Zaklady Urzadzen Komputerowych ELZAB SA","2314442","262459","Technology","1.65","Poland","4982","equities","1.64"
"Zendesk Inc","611574237","69352850","Technology","0.55","United States","9292","equities","0.55"
"Zeta Global Holdings Corp","12403848","1406603","Technology","0.08","United States","9294","equities","0.03"
"Ziff Davis Inc","360425253","40872419","Technology","0.76","United States","9295","equities","0.76"
"Zoom Video Communications Inc","453196511","51392730","Technology","0.09","United States","9302","equities","0.03"
"ZoomInfo Technologies Inc","690244642","78274117","Technology","0.3","United States","9303","equities","0.3"
"Zscaler Inc","1727616536","195912652","Technology","0.44","United States","9304","equities","0.44"
"ams AG","1011706985","114728121","Technology","2.3","Austria","6053","equities","2.3"
"comScore Inc","1543344","175016","Technology","0.06","United States","7736","equities","0.06"
"nCino Inc","92352063","10472774","Technology","0.2","United States","8526","equities","0.2"
"nLight Inc","10055995","1140355","Technology","0.11","United States","8562","equities","0.11"
"salesforce.com Inc","23365324358","2649640447","Technology","1.06","United States","8850","equities","1.06"
"u-blox Holding AG","117676326","13344559","Technology","2.43","Switzerland","6166","equities","2.43"
"3D Systems Corp","176337298","19996745","Technology","0.73","United States","7252","equities","0.73"
